epcho,loss,acc
250,0.42189798,0.840625
251,0.4754086,0.79375
252,0.4561534,0.809375
253,0.38333455,0.859375
254,0.40753442,0.834375
255,0.37267435,0.86875
256,0.4189404,0.81875
257,0.32107958,0.884375
258,0.43617478,0.821875
259,0.4856225,0.8
260,0.4458007,0.825
261,0.44446343,0.828125
262,0.39372903,0.85
263,0.517865,0.79375
264,0.33133382,0.884375
265,0.5050498,0.775
266,0.4424413,0.821875
267,0.38483083,0.85625
268,0.39033878,0.8625
269,0.4558789,0.815625
270,0.49516162,0.8125
271,0.42299357,0.8375
272,0.41841087,0.83125
273,0.37853122,0.8625
274,0.45644197,0.815625
275,0.38170195,0.85625
276,0.46628553,0.803125
277,0.37265414,0.85625
278,0.44568434,0.8125
279,0.406682,0.83125
280,0.4211114,0.825
281,0.47465897,0.796875
282,0.48143476,0.821875
283,0.3886636,0.859375
284,0.41029167,0.828125
285,0.5163969,0.7875
286,0.49722147,0.790625
287,0.4398462,0.809375
288,0.42226705,0.8375
289,0.38275632,0.86875
290,0.37027276,0.853125
291,0.4106447,0.85
292,0.43950826,0.803125
293,0.51835096,0.7875
294,0.35227826,0.875
295,0.39464092,0.846875
296,0.459549,0.790625
297,0.39226344,0.834375
298,0.4519475,0.825
299,0.4250616,0.83125
300,0.33867317,0.875
301,0.33758038,0.875
302,0.3615518,0.853125
303,0.4167103,0.85
304,0.4540182,0.821875
305,0.3522416,0.865625
306,0.40765128,0.83125
307,0.40867266,0.846875
308,0.39484558,0.84375
309,0.48715276,0.796875
310,0.42455834,0.8375
311,0.42430434,0.825
312,0.42267713,0.84375
313,0.45195714,0.8
314,0.41775006,0.84375
315,0.49329537,0.76875
316,0.3545059,0.85625
317,0.47384062,0.7875
318,0.40584165,0.828125
319,0.34464964,0.8625
320,0.35135573,0.86875
321,0.38720617,0.846875
322,0.39523813,0.83125
323,0.38233605,0.85625
324,0.3394333,0.8625
325,0.4604288,0.79375
326,0.40984493,0.815625
327,0.4615857,0.8
328,0.36986524,0.85
329,0.42243376,0.821875
330,0.34245643,0.8625
331,0.4160512,0.834375
332,0.35964456,0.85625
333,0.38972384,0.828125
334,0.3759356,0.840625
335,0.39424405,0.840625
336,0.3800661,0.865625
337,0.46740693,0.796875
338,0.3508178,0.846875
339,0.382619,0.840625
340,0.35525137,0.86875
341,0.4308908,0.821875
342,0.34846443,0.865625
343,0.38229972,0.84375
344,0.3786884,0.853125
345,0.4074791,0.825
346,0.35792497,0.846875
347,0.4203805,0.825
348,0.3713181,0.853125
349,0.3613887,0.85625
